Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Place de l'Eglise - Pantin;30;27;1;1;0;2023-04-06T13:47:37+02:00;Pantin
Place du Canada;29;0;21;8;13;2023-04-06T13:48:57+02:00;Paris
Louis Ganne - Davout;30;29;1;0;1;2023-04-06T13:46:33+02:00;Paris
Lamartine - Faubourg Montmartre;32;19;10;6;4;2023-04-06T13:46:11+02:00;Paris
Censier - Jardin des Plantes;28;3;18;14;4;2023-04-06T13:48:48+02:00;Paris
Mairie du 19ème;27;21;1;0;1;2023-04-06T13:41:55+02:00;Paris
Odessa - Départ;39;32;7;5;2;2023-04-06T13:48:37+02:00;Paris
Jardin Marguerite Long;22;18;4;0;4;2023-04-06T13:44:44+02:00;Paris
Lac Daumesnil - Saint-Maurice;50;50;0;0;0;2023-04-06T13:45:45+02:00;Paris
Melun - Jean Jaurès;28;28;0;0;0;2023-01-15T20:52:13+01:00;Paris
Léon - Doudeauville;13;11;1;1;0;2023-04-06T13:47:06+02:00;Paris
Jean Jaurès - Reine;31;11;17;16;1;2023-04-06T13:48:20+02:00;Boulogne-Billancourt
René Binet - Porte de Montmartre;37;34;3;1;2;2023-04-06T13:46:37+02:00;Paris
Argenson - Château;25;5;19;12;7;2023-04-06T13:45:31+02:00;Neuilly-sur-Seine
Quai Marcel Boyer - Victor Hugo;29;8;20;17;3;2023-04-06T13:47:58+02:00;Ivry-sur-Seine
Butte aux Cailles - Esperance;36;30;5;0;5;2023-04-06T13:48:57+02:00;Paris
Gare de Clichy-Levallois;26;21;4;2;2;2023-04-06T13:47:17+02:00;Levallois-Perret
Roquette - Folie Regnault;52;44;6;4;2;2023-04-06T13:49:02+02:00;Paris
Docteur Calmette - Martre;30;18;9;8;1;2023-04-06T13:49:00+02:00;Clichy
Vignes - Boulainvilliers;21;16;5;1;4;2023-04-06T13:48:27+02:00;Paris
République - Auguste Perret;30;29;1;0;1;2023-04-06T13:46:49+02:00;Villejuif
Tremblay - Lac des Minimes;48;6;42;23;19;2023-04-06T13:47:55+02:00;Paris
Dareau - Broussais;24;20;4;2;2;2023-04-06T13:49:01+02:00;Paris
Terroirs de France - Lheureux;55;11;42;19;23;2023-04-06T13:48:36+02:00;Paris
Beaumarchais - Pas de la Mule;18;4;13;9;4;2023-04-06T13:46:43+02:00;Paris
Brochant - Clichy;53;46;3;2;1;2023-04-06T13:48:55+02:00;Paris
Mairie du 9ème;24;5;18;12;6;2023-04-06T13:48:47+02:00;Paris
Place Marcel Sembat;56;29;25;19;6;2023-04-06T13:47:41+02:00;Boulogne-Billancourt
Boutroux - Porte de Vitry;49;23;23;22;1;2023-04-06T13:47:30+02:00;Paris
René Coty - Parc Montsouris;55;53;1;1;0;2023-04-06T13:48:45+02:00;Paris
Pierre Brossolette - Adolphe Pinard;24;22;2;1;1;2023-04-06T13:44:12+02:00;Malakoff
François Truffaut - Saint Emilion;66;17;47;38;9;2023-04-06T13:48:30+02:00;Paris
Place Centrale;22;21;1;0;1;2023-04-06T13:43:32+02:00;Meudon
Madeleine Michelis - Roule;25;10;12;4;8;2023-04-06T13:47:46+02:00;Neuilly-sur-Seine
Gare de Nanterre Ville;43;14;27;22;5;2023-04-06T13:45:53+02:00;Nanterre
Jessaint - Marx Dormoy;30;26;4;2;2;2023-04-06T13:46:36+02:00;Paris
Cours de Vincennes - Davout;48;21;26;21;5;2023-04-06T13:48:49+02:00;Paris
Moulin de la Pointe;22;20;2;1;1;2023-04-06T13:48:07+02:00;Paris
Charles de Gaulle - Orléans;26;14;12;7;5;2023-04-06T13:48:58+02:00;Neuilly-sur-Seine
Sèvres Rive Gauche;33;32;0;0;0;2023-04-06T13:44:55+02:00;Sèvres
Commandant l'Herminier - Gallieni;17;7;10;5;5;2023-04-06T13:48:58+02:00;Paris
Suffren - Pérignon;46;16;28;16;12;2023-04-06T13:48:59+02:00;Paris
Sambre et Meuse - Villette;25;19;3;1;2;2023-04-06T13:44:20+02:00;Paris
Saint-Fargeau - Mortier;33;33;0;0;0;2023-04-06T13:40:00+02:00;Paris
Station Paris Basketball - Stade Georges Carpentier;40;37;3;2;1;2023-04-06T13:39:28+02:00;Paris
Le Corbusier - Jean Jaurès;46;0;44;35;9;2023-04-06T13:48:37+02:00;Boulogne-Billancourt
Jules Guesde - Laennec;19;18;1;0;1;2023-04-06T13:47:26+02:00;Rosny-sous-Bois
Jean Moulin - Paul Doumer;20;12;8;1;7;2023-04-06T13:48:32+02:00;Montreuil
Guy Môquet - Saint-Ouen;53;49;0;0;0;2023-04-06T13:47:43+02:00;Paris
Jules Guesde - Alsace;25;17;9;5;4;2023-04-06T13:48:31+02:00;Levallois-Perret
Choron - Martyrs;17;12;4;3;1;2023-04-06T13:45:21+02:00;Paris
Véron - Lepic;23;21;0;0;0;2023-04-06T13:48:28+02:00;Paris
Place du Président Salvador Allende;60;57;2;0;2;2023-04-06T13:47:27+02:00;Pantin
Pont De Charenton;18;10;7;7;0;2023-04-06T13:44:46+02:00;Saint-Maurice
Square Edmond Pépin;30;26;3;1;2;2023-04-06T13:46:42+02:00;Le Pré-Saint-Gervais
Senard - Charles Blum;24;16;6;4;2;2023-04-06T13:43:05+02:00;Saint-Cloud
Bastille - Quai de la Rapée;27;0;24;21;3;2023-04-06T13:48:57+02:00;Paris
Gergovie - Vercingétorix;29;24;4;0;4;2023-04-06T13:48:41+02:00;Paris
Clapeyron - Moscou;15;12;3;1;2;2023-04-06T13:48:49+02:00;Paris
Rapp - Place du Général Gouraud;31;13;15;12;3;2023-04-06T13:48:54+02:00;Paris
Paul Klee - Place Augusta Holmes;43;2;40;25;15;2023-04-06T13:48:35+02:00;Paris
Pyramide - Parc Floral;50;37;12;3;9;2023-04-06T13:48:39+02:00;Paris
Hôpital Robert Debré;33;28;2;0;2;2023-04-06T13:41:10+02:00;Paris
Demi-Lune - Aristide Briand;20;18;0;0;0;2023-04-06T13:48:13+02:00;Montreuil
Averroès - Aimé Césaire;19;14;4;3;1;2023-04-06T13:44:40+02:00;Pantin
Bois de Vincennes - Porte Jaune;35;34;0;0;0;2023-04-06T13:48:34+02:00;Paris
Place du Front Populaire - George Sand;35;18;15;1;14;2023-04-06T13:48:47+02:00;Saint-Denis
Pré Saint-Gervais - Lilas;28;27;0;0;0;2023-04-06T13:43:42+02:00;Paris
Paul Barruel - Vaugirard;39;38;1;0;1;2023-04-06T13:40:50+02:00;Paris
Auguste Blanqui - Glacière;60;60;0;0;0;2023-04-06T13:48:01+02:00;Paris
Square de la rue Pixérécourt;15;13;0;0;0;2023-04-06T13:40:50+02:00;Paris
Boussingault - Tolbiac;28;25;3;3;0;2023-04-06T13:48:11+02:00;Paris
Athènes - Clichy;20;5;15;6;9;2023-04-06T13:48:33+02:00;Paris
Jacquard - Ternaux;39;34;3;2;1;2023-04-06T13:48:35+02:00;Paris
Parc Suzanne Lenglen;52;17;33;23;10;2023-04-06T13:46:59+02:00;Paris
Alexander Fleming - Belvédère;31;29;1;0;1;2023-04-06T13:43:12+02:00;Paris
Cimetière d'Issy-les-Moulineaux;24;23;1;0;1;2023-04-06T13:47:56+02:00;Issy-les-Moulineaux
Honoré d'Estienne d'Ovres - Grilles;18;11;4;1;3;2023-04-06T13:45:49+02:00;Pantin
Neuilly - Petit;16;3;9;5;4;2023-04-06T13:48:32+02:00;Clichy
Santé - Arago;38;36;2;1;1;2023-04-06T13:49:06+02:00;Paris
Pelée - Alphonse Baudin;38;20;17;16;1;2023-04-06T13:47:21+02:00;Paris
Gare du Nord - Place de Valenciennes;25;18;5;2;3;2023-04-06T13:47:02+02:00;Paris
Joseph Sansboeuf - Saint Lazare;18;2;16;8;8;2023-04-06T13:47:34+02:00;Paris
Place de la Montagne du Goulet;21;8;11;11;0;2023-04-06T13:47:59+02:00;Paris
Place Jules Ferry;28;28;0;0;0;2023-04-06T13:48:33+02:00;Montrouge
Longchamp - Place d'Iéna;40;9;30;6;24;2023-04-06T13:48:19+02:00;Paris
Gare de l'Est - Fidélité;15;9;3;2;1;2023-04-06T13:48:54+02:00;Paris
Louis Blanc - Jemmapes;31;27;3;1;2;2023-04-06T13:46:07+02:00;Paris
Ecole Militaire - Place Joffre;26;25;1;1;0;2023-04-06T13:48:10+02:00;Paris
Charles Lecocq - Lecourbe;30;26;4;4;0;2023-04-06T13:48:26+02:00;Paris
Gare du Nord - Denain;20;15;2;1;1;2023-04-06T13:47:02+02:00;Paris
Quai de Valmy;26;21;2;1;1;2023-04-06T13:47:44+02:00;Paris
Hôtel de ville de Fontenay-sous-Bois;20;19;1;0;1;2023-04-06T13:45:15+02:00;Fontenay-sous-Bois
Eylau - Trocadéro;24;14;8;3;5;2023-04-06T13:48:51+02:00;Paris
Pierre Levée - Fontaine Timbaud;23;19;3;1;2;2023-04-06T13:45:40+02:00;Paris
Gare de Lyon - Van Gogh;51;0;49;30;19;2023-04-06T13:49:00+02:00;Paris
Carnot - Général Lanrezac;30;30;0;0;0;2018-05-21T07:30:29+02:00;Paris
Edouard Vaillant - Galliéni;49;49;0;0;0;2020-08-14T04:12:17+02:00;Bagnolet
Résistance - Hoche;29;24;3;1;2;2023-04-06T13:43:46+02:00;Montreuil
Mazagran - Pierre de Coubertin;15;11;4;1;3;2023-04-06T13:46:03+02:00;Paris
Commerce - Letellier;44;15;29;26;3;2023-04-06T13:48:56+02:00;Paris
Pierre Demours - Laugier;37;26;7;3;4;2023-04-06T13:48:40+02:00;Paris
Fessart - Château;20;14;5;5;0;2023-04-06T13:45:59+02:00;Boulogne-Billancourt
Metz - Faubourg Saint-Denis;48;31;15;12;3;2023-04-06T13:47:27+02:00;Paris
Brancion - Lefebvre;11;9;1;1;0;2023-04-06T13:49:01+02:00;Paris
Censier - Santeuil;69;55;14;9;5;2023-04-06T13:48:48+02:00;Paris
Hôtel de Ville de Fontenay-aux-Roses;34;31;3;0;3;2023-04-06T13:45:03+02:00;Fontenay-aux-Roses
Mairie de Neuilly sur Seine;31;21;9;2;7;2023-04-06T13:48:46+02:00;Neuilly-sur-Seine
Vinaigriers - Magenta;25;22;1;1;0;2023-04-06T13:46:48+02:00;Paris
Chancé Milly - Cimetière Communal Sud;32;30;1;1;0;2023-04-06T13:46:11+02:00;Clichy
Vanne - Général de Gaulle;25;20;5;0;5;2023-04-06T13:47:57+02:00;Montrouge
Botzaris - Crimée;21;16;5;0;5;2023-04-06T13:48:41+02:00;Paris
Vanne - Saussaies;20;11;9;1;8;2023-04-06T13:44:00+02:00;Cachan
Saint-Didier - Raymond Poincaré;17;11;6;4;2;2023-04-06T13:48:50+02:00;Paris
Pierre Lefaucheux - Traversière;35;18;16;11;5;2023-04-06T13:48:25+02:00;Boulogne-Billancourt
Cours de l'Ile Seguin - Parc Billancourt;29;15;11;8;3;2023-04-06T13:49:04+02:00;Boulogne-Billancourt
Victor Cresson - Telles de la Poterie;31;11;20;12;8;2023-04-06T13:48:51+02:00;Issy-les-Moulineaux
Belleville - Couronnes;50;45;2;1;1;2023-04-06T13:48:55+02:00;Paris
Pontoise - La Tournelle;23;2;17;11;6;2023-04-06T13:49:01+02:00;Paris
Place Fernand Forest;33;0;32;29;3;2023-04-06T13:48:37+02:00;Paris
Daumesnil - Hébrard;40;12;27;22;5;2023-04-06T13:49:04+02:00;Paris
Marcel Yol - Jullien;30;23;5;1;4;2023-04-06T13:46:27+02:00;Vanves
Jardin de l'Hospice Debrousse;23;23;0;0;0;2023-04-06T13:45:31+02:00;Paris
Gare Montparnasse - Edgar Quinet;33;17;16;5;11;2023-04-06T13:48:34+02:00;Paris
Paul Signac - Aristide Briand;35;30;2;0;2;2023-04-06T13:46:16+02:00;Montreuil
Wurtz - Tolbiac;28;26;1;0;1;2023-04-06T13:48:51+02:00;Paris
Charles de Gaulle - Graviers;0;0;0;0;0;2022-12-05T06:50:36+01:00;Neuilly-sur-Seine
Marc Sangnier - Division Leclerc;24;3;18;16;2;2023-04-06T13:47:45+02:00;Cachan
Stade de France;44;28;16;6;10;2023-04-06T13:47:08+02:00;Saint-Denis
Convention - Vaugirard;48;44;3;3;0;2023-04-06T13:47:14+02:00;Paris
Porte d'Italie;13;12;1;0;1;2023-04-06T13:41:27+02:00;Paris
Paul Vaillant-Couturier - Gare RER;26;3;20;15;5;2023-04-06T13:49:02+02:00;Vitry-sur-Seine
Vitruve - Davout;23;23;0;0;0;2023-04-06T13:47:18+02:00;Paris
Raffet - Montmorency;42;25;15;3;12;2023-04-06T13:45:43+02:00;Paris
Place de la Porte de Passy;36;32;4;2;2;2023-04-06T13:47:15+02:00;Paris
Ivry - Simone Weil;18;11;6;2;4;2023-04-06T13:48:25+02:00;Paris
Damrémont - Ordener;30;27;0;0;0;2023-04-06T13:46:55+02:00;Paris
Cimetière de Boulogne-Billancourt;40;16;22;21;1;2023-04-06T13:48:13+02:00;Boulogne-Billancourt
Quai aux Fleurs - Pont Saint-Louis;21;17;4;2;2;2023-04-06T13:48:23+02:00;Paris
Ranelagh - Maison de la Radio;22;4;17;15;2;2023-04-06T13:48:37+02:00;Paris
Batignolles - Beudant;44;40;2;0;2;2023-04-06T13:48:30+02:00;Paris
Gare SNCF Vanves-Malakoff;51;51;0;0;0;2023-04-06T13:41:14+02:00;Vanves
Place de Lévis;48;44;2;0;2;2023-04-06T13:45:35+02:00;Paris
Place Saint-Ferdinand;38;32;6;3;3;2023-04-06T13:42:40+02:00;Paris
La Motte-Picquet - Grenelle;34;1;30;28;2;2023-04-06T13:48:57+02:00;Paris
Docteurs Déjérine - Pte de Montreuil;20;19;1;1;0;2023-04-06T13:47:23+02:00;Paris
Arcole - Notre-Dame;31;26;5;4;1;2023-04-06T13:48:30+02:00;Paris
Malakoff - Place de la Porte Maillot;31;12;4;2;2;2023-04-06T13:44:06+02:00;Paris
Quai de la Gare - Pont de Bercy;30;7;21;13;8;2023-04-06T13:48:51+02:00;Paris
Jean-Pierre Timbaud - Vaucouleurs;47;38;8;6;2;2023-04-06T13:46:42+02:00;Paris
Place de l'Insurrection d'Août 1944;30;12;17;15;2;2023-04-06T13:48:03+02:00;Ivry-sur-Seine
Bruneseau - Quai d'Ivry;48;9;36;29;7;2023-04-06T13:47:53+02:00;Ivry-sur-Seine
Camille Groult - Guy Môquet;22;7;15;14;1;2023-04-06T13:40:51+02:00;Vitry-sur-Seine
André Maurois - Joseph et Marie Hackin;29;15;12;3;9;2023-04-06T13:49:01+02:00;Paris
Raspail - Albert Schweitzer;28;6;20;20;0;2023-04-06T13:47:54+02:00;Gentilly
Buzenval - Avron;50;48;2;2;0;2023-04-06T13:46:59+02:00;Paris
Jean Jaurès - Ouvrières Pivéreuses;20;17;0;0;0;2023-04-06T13:41:04+02:00;Pantin
Mairie de Romainville;17;15;0;0;0;2023-04-06T13:41:39+02:00;Romainville
Marché aux fleurs;23;6;15;9;6;2023-04-06T13:49:01+02:00;Paris
George V - Christophe Colomb;24;0;24;8;16;2023-04-06T13:47:01+02:00;Paris
Place de l'Europe - Quai de Bercy;17;8;9;8;1;2023-04-06T13:48:18+02:00;Charenton-le-Pont
Amaury Duval - Gabriel Péri;36;33;2;0;2;2023-04-06T13:48:55+02:00;Montrouge
Paris - Laitières;22;0;22;10;12;2023-04-06T13:48:54+02:00;Vincennes
Hôpital - Campo-Formio;16;14;2;0;2;2023-04-06T13:48:18+02:00;Paris
Louis Pasteur - Albert Petit;31;27;3;0;3;2023-04-06T13:41:50+02:00;Bagneux
Square Alban Satragne;30;24;3;1;2;2023-04-06T13:49:07+02:00;Paris
Jean Moulin - Place Victor et Hélène Basch;41;40;1;1;0;2023-04-06T13:47:20+02:00;Paris
Proudhon - Président Wilson;30;30;0;0;0;2023-04-06T13:46:23+02:00;Saint-Denis
Louis Rolland - République;26;21;4;1;3;2023-04-06T13:45:35+02:00;Montrouge
Jean Calvin - Tournefort;28;13;15;10;5;2023-04-06T13:49:04+02:00;Paris
Emeriau - Beaugrenelle;74;10;61;56;5;2023-04-06T13:48:57+02:00;Paris
Charles Gide - Fort de Bicêtre;30;18;10;1;9;2023-04-06T13:46:18+02:00;Le Kremlin-Bicêtre
Faubourg Poissonnière - Dunkerque;30;22;6;1;5;2023-04-06T13:46:26+02:00;Paris
Temple - Charlot;45;21;18;12;6;2023-04-06T13:48:59+02:00;Paris
Victor Hugo - La Pompe;41;11;18;2;16;2023-04-06T13:48:23+02:00;Paris
Place Nationale - Château-des-Rentiers;18;17;1;0;1;2023-04-06T13:45:22+02:00;Paris
Colmar - Victor Hugo;32;18;10;4;6;2023-04-06T13:47:41+02:00;Rueil-Malmaison
Place de Barcelone - Mirabeau;55;13;35;32;3;2023-04-06T13:47:51+02:00;Paris
Charonne - Pierre Bayle;23;22;1;0;1;2023-04-06T13:47:53+02:00;Paris
Théâtre de La Garenne;20;15;3;1;2;2023-04-06T13:48:28+02:00;La Garenne-Colombes
Place Lafayette;62;0;59;38;21;2023-04-06T13:49:06+02:00;Issy-les-Moulineaux
Président Wilson - Baudin;28;10;16;9;7;2023-04-06T13:46:48+02:00;Levallois-Perret
Monceau - Malesherbes;38;25;11;3;8;2023-04-06T13:46:07+02:00;Paris
Jourdan - Monticelli;30;29;1;0;1;2023-04-06T13:46:59+02:00;Paris
Lucien Lanternier - Le Luth;27;8;19;12;7;2023-04-06T13:47:35+02:00;Gennevilliers
Porte d'Asnières;36;31;2;1;1;2023-04-06T13:46:00+02:00;Paris
Rond-Point de la Chapelle;0;0;0;0;0;2023-02-21T23:23:33+01:00;Paris
Gaston Tessier - Rosa Parks RER;37;34;1;1;0;2023-04-06T13:48:45+02:00;Paris
La Jarry - Place Diderot;25;24;1;0;1;2023-04-06T13:46:24+02:00;Vincennes
Lobau - Hôtel de Ville;60;35;23;22;1;2023-04-06T13:48:38+02:00;Paris
Place Jacques et Thérèse Tréfouël;43;26;17;14;3;2023-04-06T13:48:08+02:00;Paris
Assas - Luxembourg;33;2;30;6;24;2023-04-06T13:47:33+02:00;Paris
Lucien Bossoutrot - Général Martial Vallin;39;12;26;21;5;2023-04-06T13:48:44+02:00;Paris
Mazagran - Bonne Nouvelle;25;18;7;2;5;2023-04-06T13:44:47+02:00;Paris
Pergolèse - Malakoff;38;28;9;2;7;2023-04-06T13:48:27+02:00;Paris
Brillat-Savarin - Küss;21;19;1;1;0;2023-04-06T13:41:56+02:00;Paris
Vaugirard - Pasteur;21;13;8;3;5;2023-04-06T13:48:14+02:00;Paris
Estienne d'Orves - Henri Ginoux;31;31;0;0;0;2023-04-06T13:43:54+02:00;Montrouge
Voltaire - Anatole France;27;9;17;11;6;2023-04-06T13:47:19+02:00;Levallois-Perret
Bobillot - Paulin Mery;23;22;1;1;0;2023-04-06T13:48:56+02:00;Paris
Quai de l'Oise - Aisne;30;23;2;1;1;2023-04-06T13:48:30+02:00;Paris
Jacques Kellner - Saint-Ouen;45;42;3;2;1;2023-04-06T13:47:24+02:00;Paris
Place du 14 Juillet;22;19;0;0;0;2023-04-06T13:47:36+02:00;Malakoff
Javel - André Citroën;45;19;19;19;0;2023-04-06T13:48:11+02:00;Paris
Charonne - Bureau;47;43;4;0;4;2023-04-06T13:47:42+02:00;Paris
Gare de Lyon - Chalon;45;3;41;29;12;2023-04-06T13:48:16+02:00;Paris
Square Louise Michel;36;24;11;7;4;2023-04-06T13:47:41+02:00;Paris
Benjamin Delessert - Jean Lolive;21;18;2;1;1;2023-04-06T13:45:45+02:00;Pantin
Douai - Pierre Fontaine;25;17;5;1;4;2023-04-06T13:49:01+02:00;Paris
Place de la Gare;46;15;30;30;0;2023-04-06T13:48:57+02:00;Maisons-Alfort
Portugais - Kléber;26;7;19;1;18;2023-04-06T13:47:32+02:00;Paris
Place Mongolfier;39;1;36;32;4;2023-04-06T13:48:54+02:00;Saint-Maurice
Place Edmond Michelet;23;4;18;11;7;2023-04-06T13:48:50+02:00;Paris
Italie - Jardin Joan Miro;26;25;1;0;1;2023-04-06T13:47:08+02:00;Paris
Emile Zola - Fondary;42;9;32;29;3;2023-04-06T13:49:07+02:00;Paris
Gare de la Garenne-Colombes;28;18;7;6;1;2023-04-06T13:43:51+02:00;Colombes
Taitbout - La Fayette;53;19;32;19;13;2023-04-06T13:48:47+02:00;Paris
Mairie de quartier du Plateau - Mont-Valérien;20;12;8;2;6;2023-04-06T13:47:56+02:00;Nanterre
Charles Tillon - Cimetière Communal;30;18;6;1;5;2023-04-06T13:48:13+02:00;Aubervilliers
Paul Vaillant-Couturier - Victor Hugo;36;10;24;16;8;2023-04-06T13:46:49+02:00;Levallois-Perret
La Motte-Picquet - La Tour Maubourg;40;9;28;28;0;2023-04-06T13:49:04+02:00;Paris
Berthier - Place Stuart Merril;37;30;6;3;3;2023-04-06T13:48:24+02:00;Paris
Delizy - Louis Nadot;22;10;10;4;6;2023-04-06T13:48:22+02:00;Pantin
Blaise-Desgoffe - Vaugirard;32;6;23;7;16;2023-04-06T13:49:04+02:00;Paris
Saint-Mandé - Fabre d'Eglantine;34;31;3;0;3;2023-04-06T13:49:06+02:00;Paris
Goutte d'or - Barbès;20;18;2;0;2;2023-04-06T13:45:34+02:00;Paris
Toqueville - Cardinet;33;32;0;0;0;2023-04-06T13:43:52+02:00;Paris
Mairie de Clamart;33;28;1;1;0;2023-04-06T13:39:45+02:00;Clamart
Cambronne - Villa Croix Nivert;62;26;35;33;2;2023-04-06T13:48:38+02:00;Paris
Place Jeanne d'Arc;36;32;3;1;2;2023-04-06T13:48:33+02:00;Paris
Placette Grégoire Collas;24;10;13;10;3;2023-04-06T13:46:30+02:00;Argenteuil
Bessières - Porte de Clichy;33;4;27;16;11;2023-04-06T13:46:37+02:00;Paris
Porte des Lilas - Faidherbe;39;36;3;1;2;2023-04-06T13:48:45+02:00;Les Lilas
Halles - Bourdonnais;20;4;15;9;6;2023-04-06T13:48:56+02:00;Paris
Square Bela Bartok;24;3;20;20;0;2023-04-06T13:46:23+02:00;Paris
Quai du Président Roosevelt - Pont Aval;30;0;30;10;20;2023-04-06T13:47:08+02:00;Paris
Fort d'Aubervilliers;22;15;5;3;2;2023-04-06T13:47:48+02:00;Aubervilliers
Maréchal Joffre - Verdun;20;19;0;0;0;2023-04-06T13:47:05+02:00;Fontenay-sous-Bois
Place Ginette Hamelin;51;12;37;29;8;2023-04-06T13:47:11+02:00;Paris
Rochechouart - Martyrs;20;17;1;0;1;2023-04-06T13:49:06+02:00;Paris
Gare du Stade;20;6;13;13;0;2023-04-06T13:49:00+02:00;Colombes
Île de la Jatte;23;15;8;5;3;2023-04-06T13:48:21+02:00;Neuilly-sur-Seine
Saint-Germain - Ciseaux;18;17;0;0;0;2023-04-06T13:43:43+02:00;Paris
Lemercier - Cardinet;24;19;4;4;0;2023-04-06T13:46:12+02:00;Paris
Clichy - Douai;32;26;3;1;2;2023-04-06T13:48:11+02:00;Paris
Balzac - Olympes de Gouges;28;3;23;13;10;2023-04-06T13:48:07+02:00;Vitry-sur-Seine
Esplanade du Foncet - Camille Desmoulins;28;1;27;22;5;2023-04-06T13:48:43+02:00;Issy-les-Moulineaux
Place Saint-Just;22;11;11;4;7;2023-04-06T13:48:52+02:00;Vitry-sur-Seine
Joseph Dijon - Ornano;37;32;1;1;0;2023-04-06T13:47:55+02:00;Paris
Gérando - Rochechouart;21;18;2;0;2;2023-04-06T13:43:23+02:00;Paris
Square Denise Buisson;45;36;6;2;4;2023-04-06T13:48:12+02:00;Montreuil
Suffren - Champ de Mars;23;9;14;9;5;2023-04-06T13:48:09+02:00;Paris
Picpus - Louis Braille;44;40;3;2;1;2023-04-06T13:48:15+02:00;Paris
Centre Georges Pompidou;26;9;17;10;7;2023-04-06T13:47:22+02:00;Paris
Godot de Mauroy - Madeleine;22;1;19;14;5;2023-04-06T13:45:33+02:00;Paris
Auguste Blanqui - Corvisart;26;26;0;0;0;2023-04-06T13:39:08+02:00;Paris
Madagascar - Meuniers;33;29;2;1;1;2023-04-06T13:48:05+02:00;Paris
Mstislav Rostropovitch - Berthier;18;6;12;6;6;2023-04-06T13:43:55+02:00;Paris
Charenton - Prague;26;1;24;23;1;2023-04-06T13:49:00+02:00;Paris
Londres - Place d'Estienne d'Orves;25;6;19;11;8;2023-04-06T13:48:07+02:00;Paris
Square Etienne Jarousse;25;25;0;0;0;2023-04-06T13:45:26+02:00;Vanves
Pont de Suresnes;24;24;0;0;0;2023-02-19T00:47:41+01:00;Suresnes
Cloître Saint-Merri - Renard;32;19;11;6;5;2023-04-06T13:45:34+02:00;Paris
Dunkerque - Trudaine;16;10;5;0;5;2023-04-06T13:42:25+02:00;Paris
Champs-Elysees - Bassano;25;25;0;0;0;2021-02-21T20:09:18+01:00;Paris
Chemin de Bretagne;29;5;23;23;0;2023-04-06T13:48:40+02:00;Issy-les-Moulineaux
Hôpital Necker;40;19;20;16;4;2023-04-06T13:47:45+02:00;Paris
Place Nelson Mandela;30;12;18;2;16;2023-04-06T13:47:46+02:00;Nanterre
Bourg l'Abbé - Saint-Martin;42;21;18;13;5;2023-04-06T13:49:01+02:00;Paris
Place Monge;21;21;0;0;0;2023-04-06T13:43:35+02:00;Paris
Mairie du 8ème;14;10;4;2;2;2023-04-06T13:46:41+02:00;Paris
Crozatier - Faubourg Saint-Antoine;42;6;36;29;7;2023-04-06T13:49:05+02:00;Paris
Jules Guesdes - Général de Gaulle;24;24;0;0;0;2023-04-06T13:44:36+02:00;Issy-les-Moulineaux
Glacière - Soeur Catherine Marie;40;34;5;2;3;2023-04-06T13:48:00+02:00;Paris
Marché Saint-Germain;21;1;18;17;1;2023-04-06T13:48:17+02:00;Paris
Rottembourg - Général Michel Bizot;43;25;14;14;0;2023-04-06T13:47:52+02:00;Paris
Place Aimé Césaire;27;23;4;0;4;2023-04-06T13:47:11+02:00;Clamart
Geoffroy - Marie;20;3;16;11;5;2023-04-06T13:47:42+02:00;Paris
Gare RER - Malleret-Joinville;20;17;2;1;1;2023-04-06T13:42:41+02:00;Alfortville
Place Joffre - Frédéric le Play;38;21;17;6;11;2023-04-06T13:48:20+02:00;Paris
Hôtel de Ville de Sèvres;32;23;9;2;7;2023-04-06T13:44:34+02:00;Sèvres
Place de Rungis;32;32;0;0;0;2023-04-06T13:48:09+02:00;Paris
Jean Monnet - Iles;32;10;22;21;1;2023-04-06T13:48:10+02:00;Issy-les-Moulineaux
Vivaldi - Antoine-Julien Hénard;27;26;1;0;1;2023-04-06T13:48:28+02:00;Paris
Parc Eli Lotar;20;8;11;7;4;2023-04-06T13:48:11+02:00;Aubervilliers
Marché Saint-Quentin;15;12;1;0;1;2023-04-06T13:41:09+02:00;Paris
Leredde - Tolbiac;44;17;26;15;11;2023-04-06T13:48:53+02:00;Paris
Vivienne - Montmartre;39;9;28;13;15;2023-04-06T13:47:30+02:00;Paris
Place Charles Michels;37;2;33;30;3;2023-04-06T13:47:55+02:00;Paris
Place d'Italie - Vincent Auriol;40;40;0;0;0;2023-04-06T13:45:29+02:00;Paris
Choisy - Tolbiac;26;15;1;0;1;2023-04-06T13:48:01+02:00;Paris
Buffon - Jardin des Plantes;30;1;28;18;10;2023-04-06T13:45:36+02:00;Paris
Benoît Frachon - République;30;22;8;4;4;2023-04-06T13:48:19+02:00;Paris
Louis Xavier de Ricard - Ancienne Mairie;34;29;1;0;1;2023-04-06T13:48:08+02:00;Fontenay-sous-Bois
Jean Jaurès - Jules Jacquemin;24;21;2;0;2;2023-04-06T13:44:27+02:00;Le Pré-Saint-Gervais
Lebrun - Colonel Fabien;27;27;0;0;0;2023-04-06T13:41:57+02:00;Vitry-sur-Seine
Mairie du 14ème;32;30;2;1;1;2023-04-06T13:46:53+02:00;Paris
Bagnolet - Orteaux;36;34;0;0;0;2023-04-06T13:39:41+02:00;Paris
